Shot number,Date,Classification,Club type,Club name,Carry,Total,Offline,Offline carry,Shot angle,Peak height,Hang time,Club speed,Ball speed,Smash factor,Push/pull,Launch angle,Landing angle,Backspin,Sidespin,Curve,Curve factor,Angle of attack,Face to target,Club path,Face to path,Face impact X,Face impact Y,Strokes gained,Club score,Target score,Launch score,Direction score,Shape score,Total score
,,,,,[yds],[yds],[yds],[yds],[°],[yds],[seconds],[mph],[mph],,[°],[°],[°],[rpm],[rpm],[yds],,[°],[°],[°],[°],[mm],[mm],,,,,,,
150,2026-08-09T17:11:13.000Z,Push Slice,Driver,Default,194.6,204.6,34.2,31.6,14.8,31.2,6.3,87.1,131.0,1.5,3.85 R,14.7,41.4,4210,1094 R,18.5,48.0,-1.8,3.9° open,1.07° out-to-in,4.97° open,,,0.1,3.8,6.2,4.2,1.4,0,15.6
151,2026-08-09T17:11:13.000Z,Straight Draw,Driver,Default,229.1,256.8,7.8,6.0,-3.7,22.1,5.7,92.9,145.9,1.6,0.69 R,10.0,28.6,2788,312 L,8.8,19.0,0.2,0.18° closed,1.18° in-to-out,1.36° closed,,,0.4,6.5,8.1,3.8,8.8,6,33.2
152,2026-08-09T17:11:13.000Z,Huge Hook,Driver,Default,184.7,233.8,54.4,39.3,-17.9,11.5,4.0,89.7,141.2,1.6,6.62 L,9.4,18.0,2000,10000 L,17.9,48.0,1.6,13° closed,0.52° out-to-in,12.48° closed,,,-0.2,3.1,5.4,5.4,0,0,13.9
153,2026-08-09T17:11:13.000Z,Straight Draw,Driver,Default,218.5,246.4,8.9,7.1,-3.9,20.5,5.5,90.8,142.1,1.6,0.2 R,9.7,29.1,2850,312 L,7.8,18.0,0.1,0.34° closed,0.94° in-to-out,1.28° closed,,,0.6,6.2,7.9,3.1,8.4,6,31.6
154,2026-08-09T17:11:13.000Z,Huge Hook,Driver,Default,158.5,212.2,63.1,39.9,-25.3,10.9,3.3,89.9,141.7,1.6,3.75 L,11.3,19.2,1429,10000 L,29.5,93.0,5.7,13.63° closed,0.29° out-to-in,13.34° closed,,,-0.2,3.2,4.4,4,0,0,11.5
155,2026-08-09T17:11:13.000Z,Push,Driver,Default,219.1,230.1,20.4,19.0,7.4,35.0,6.8,95.9,147.5,1.5,2.5 R,11.6,42.9,4564,469 R,9.4,21.0,-4.3,2.27° open,0.1° out-to-in,2.37° open,,,0.7,6.9,8,4.1,5.7,3,27.8
156,2026-08-09T17:11:13.000Z,Push Slice,Driver,Default,217.9,235.2,46.3,41.2,17.1,27.9,6.0,90.7,140.1,1.5,4.65 R,13.4,39.3,3040,1016 R,23.4,54.0,4.1,4.62° open,0.76° out-to-in,5.38° open,,,-0.1,3.7,6.5,4.2,1.8,0,16.1
157,2026-08-09T17:11:13.000Z,Push Slice,Driver,Default,199.1,210.1,40.4,37.1,17.4,29.1,6.2,90.5,137.5,1.5,4.04 R,11.7,40.3,4575,1406 R,23.0,58.0,-4.0,4.31° open,1.89° out-to-in,6.2° open,,,0.0,3.2,6.2,3.1,0,0,12.5
158,2026-08-09T17:11:13.000Z,Push Fade,Driver,Default,207.1,219.0,23.4,21.3,10.1,27.8,6.2,93.1,142.9,1.5,1.68 R,9.3,39.2,4669,938 R,15.3,37.0,-5.4,1.65° open,1.3° out-to-in,2.95° open,,,0.7,5.8,7.1,2.6,3.8,3,22.3
159,2026-08-09T17:11:13.000Z,Huge Pull Hook,Driver,Default,183.3,228.6,77.5,56.6,-27.1,10.4,4.0,93.7,148.7,1.6,8.53 L,7.7,17.6,2244,10000 L,29.1,79.0,-1.1,13.26° closed,0.12° out-to-in,13.14° closed,,,-0.3,3.6,4.4,5.5,0,0,13.5
160,2026-08-09T17:11:13.000Z,Huge Hook,Driver,Default,229.5,252.8,53.0,44.0,-22.3,22.1,5.8,98.7,155.8,1.6,0.14 R,8.1,31.1,3254,10000 L,44.6,97.0,-5.3,12.87° closed,1.3° in-to-out,14.17° closed,,,-0.2,5.2,6.3,3.4,0,0,14.9
161,2026-08-09T17:11:13.000Z,,Driver,Default,0.0,139.1,,6.9,NaN,0.0,0.7,,134.0,,90 R,6.3,0.0,50,,6.9,,,,,,,,,0,0,0,0,0,0
162,2026-08-09T17:11:13.000Z,Baby Draw,Driver,Default,254.2,268.9,3.4,4.7,-5.1,43.5,7.5,100.9,159.0,1.6,7.17 R,14.2,43.3,3535,742 L,27.3,54.0,3.8,5.96° open,7.17° in-to-out,1.21° closed,,,0.3,6.1,8.1,5.8,9,10,39
1,2026-08-02T15:24:56.000Z,Straight Draw,9 Iron,Default,115.5,121.9,4.3,3.9,-3.1,18.9,4.4,68.9,88.8,1.3,0.78 L,21.6,38.9,5238,625 L,2.3,10.0,-1.3,1.85° closed,1.07° in-to-out,2.92° closed,,,0.3,5.4,0,6.4,6.9,6,24.7
2,2026-08-02T15:24:56.000Z,Baby Draw,9 Iron,Default,127.6,131.8,0.9,1.1,-2.9,22.3,5.0,73.0,95.4,1.3,3.88 R,21.3,42.0,5780,781 L,7.5,29.0,-2.6,2.44° open,5.83° in-to-out,3.39° closed,,,1.1,2.9,3.3,7.8,10,10,34
3,2026-08-02T15:24:56.000Z,Overdraw,9 Iron,Default,128.0,131.3,8.0,7.4,-9.0,24.1,5.0,72.8,96.9,1.3,2.37 R,23.3,43.2,5112,1250 L,12.7,50.0,-1.2,0.51° open,6.48° in-to-out,5.97° closed,,,0.6,0.8,3.7,6.8,6.9,6,24.2
4,2026-08-02T15:24:56.000Z,Push,9 Iron,Default,89.3,95.8,9.7,9.2,4.9,14.8,4.0,65.2,75.1,1.2,6.83 R,24.3,38.3,6864,0,1.5,9.0,-3.1,6.19° open,4.95° in-to-out,1.24° open,,,-0.1,3.8,0,7,0,3,13.8
5,2026-08-02T15:24:56.000Z,Huge Hook,9 Iron,Default,119.2,124.3,15.5,14.3,-14.0,20.5,4.7,69.0,88.3,1.3,0.26 R,24.0,39.5,5257,2500 L,14.8,62.0,-1.3,3.69° closed,8.81° in-to-out,12.5° closed,,,0.2,0.1,0,5.8,0,0,5.9
6,2026-08-02T15:24:56.000Z,Huge Hook,9 Iron,Default,128.8,132.7,17.6,16.6,-15.3,24.2,5.0,73.0,95.7,1.3,0.51 R,23.4,42.6,5882,2500 L,17.7,69.0,-1.7,3.26° closed,8.99° in-to-out,12.25° closed,,,-0.0,0.9,4.4,7.6,0,0,12.9
7,2026-08-02T15:24:56.000Z,Baby Draw,9 Iron,Default,127.2,131.8,5.9,6.1,-2.4,21.9,4.6,70.8,91.0,1.3,7.84 R,25.2,39.4,2870,937 L,11.4,45.0,0.0,6.01° open,9.16° in-to-out,3.15° closed,,,1.0,2.5,3.1,3.9,8.4,10,27.9
8,2026-08-02T15:24:56.000Z,Huge Push Draw,9 Iron,Default,132.6,135.7,18.6,18.4,4.5,24.2,5.3,76.9,99.4,1.3,11.25 R,20.7,43.6,6562,625 L,8.0,30.0,-3.9,9.58° open,9.68° in-to-out,0.1° closed,,,-0.0,5.6,5.3,8.9,0,0,19.9
9,2026-08-02T15:24:56.000Z,Underdraw,9 Iron,Default,130.2,138.5,8.5,8.2,1.9,17.7,4.6,77.2,100.4,1.3,5.29 R,15.9,36.1,5358,312 L,3.8,15.0,-4.7,4.26° open,5.19° in-to-out,0.93° closed,,,1.1,6.4,5.1,5.8,5.3,6,28.6
10,2026-08-02T15:24:56.000Z,Baby Draw,9 Iron,Default,130.0,131.6,3.4,3.5,-3.1,30.6,5.6,78.0,97.6,1.3,6.18 R,26.4,47.9,7810,937 L,10.6,41.0,-2.1,4.46° open,8.22° in-to-out,3.76° closed,,,1.1,4.9,4.8,6,6.9,10,32.6
11,2026-08-02T15:24:56.000Z,Underdraw,9 Iron,Default,111.7,113.1,8.1,8.1,1.7,25.1,5.2,78.0,93.0,1.2,6.58 R,24.4,47.0,9201,625 L,4.8,22.0,-5.8,5.17° open,7.39° in-to-out,2.22° closed,,,0.1,6,0,4.6,2.2,6,18.8
12,2026-08-02T15:24:56.000Z,Overdraw,9 Iron,Default,140.9,143.4,11.4,11.0,-10.2,30.5,5.8,77.9,103.3,1.3,1.29 R,23.9,46.0,5737,1562 L,14.2,50.0,-1.1,0.8° closed,6.65° in-to-out,7.45° closed,,,0.5,3.1,9,8.5,3.8,6,30.4
13,2026-08-02T15:24:56.000Z,Huge Hook,9 Iron,Default,141.8,146.4,16.9,15.8,-14.0,25.8,5.3,76.2,102.9,1.4,1.2 R,21.4,42.1,5507,2031 L,18.8,66.0,-1.9,1.34° closed,8.2° in-to-out,9.54° closed,,,-0.0,2.3,7.4,8.7,1.4,0,19.7
14,2026-08-02T15:24:56.000Z,Huge Hook,9 Iron,Default,140.6,145.9,26.7,24.9,-19.5,24.3,5.2,76.3,104.3,1.4,0.91 L,19.9,41.9,5016,2500 L,22.6,81.0,-1.9,4.22° closed,7.8° in-to-out,12.02° closed,,,-0.2,2.3,1.8,7.3,0,0,11.5
15,2026-08-02T15:24:56.000Z,Hook,9 Iron,Default,144.9,190.2,22.4,13.1,-11.7,7.0,3.6,82.4,120.4,1.5,1.35 R,5.5,15.9,3186,10000 L,16.5,57.0,-3.5,11.37° closed,0.58° in-to-out,11.95° closed,,,-0.6,6.8,7.7,0.1,0,0,14.6
16,2026-08-02T15:24:56.000Z,Huge Push Draw,9 Iron,Default,122.1,125.5,11.6,11.4,3.5,23.2,4.9,73.7,94.2,1.3,7.16 R,23.5,42.8,6950,312 L,4.0,16.0,-2.8,6.17° open,6.39° in-to-out,0.22° closed,,,0.3,4.1,0,7.7,0.6,0,12.5
17,2026-08-02T15:24:56.000Z,Hook,7 Iron,Default,164.7,173.9,17.3,14.9,-14.9,23.3,5.6,83.0,118.1,1.4,4.48 R,13.1,38.5,5732,2344 L,27.8,84.0,-5.2,2.28° open,11.28° in-to-out,9° closed,,,0.2,2.3,8.5,8,3,0,21.7
18,2026-08-02T15:24:56.000Z,Hook,7 Iron,Default,180.2,189.4,20.9,18.4,-15.4,30.0,5.9,83.4,123.3,1.5,3.59 R,16.0,41.7,4258,1719 L,29.8,83.0,-1.3,1.98° open,8.86° in-to-out,6.88° closed,,,-0.0,2.5,7.5,7.1,4.5,0,21.6
19,2026-08-02T15:24:56.000Z,Baby Draw,7 Iron,Default,169.7,178.4,2.7,1.9,-5.1,26.1,5.7,82.4,118.9,1.4,3.78 R,15.1,42.1,5028,937 L,13.1,39.0,-3.3,2.44° open,6.22° in-to-out,3.78° closed,,,1.3,3.7,10,8.6,10,10,42.3
20,2026-08-02T15:24:56.000Z,Top,7 Iron,Default,36.0,79.3,9.6,4.7,6.4,2.4,1.0,67.6,83.1,1.2,8.59 R,14.5,15.5,50,469 L,0.7,10.0,-0.0,7.33° open,8.03° in-to-out,0.7° closed,,,-0.2,3,0,3.7,6.1,0,12.7
21,2026-08-02T15:24:56.000Z,Power Fade,7 Iron,Default,151.6,165.0,8.3,5.7,-11.1,20.8,4.9,77.5,108.6,1.4,6.76 R,16.2,37.4,3920,1875 L,23.7,78.0,-1.7,4.48° open,11.34° in-to-out,6.86° closed,,,1.3,0.4,5.4,6,6.9,10,28.7
22,2026-08-02T15:24:56.000Z,Huge Push Draw,7 Iron,Default,143.4,155.3,14.7,14.9,-0.5,18.0,4.7,76.8,105.1,1.4,12.2 R,15.1,34.8,4217,937 L,16.1,56.0,-2.5,10.44° open,10.54° in-to-out,0.1° closed,,,0.5,3.3,3,5.6,0.6,0,12.5
23,2026-08-02T15:24:56.000Z,Huge Hook,7 Iron,Default,160.0,168.7,19.3,17.4,-12.6,25.8,5.5,78.8,109.8,1.4,0.14 R,18.6,40.0,5219,1562 L,17.8,56.0,-3.0,1.98° closed,5.78° in-to-out,7.76° closed,,,0.2,0.8,7.7,8.5,2.2,0,19.2
24,2026-08-02T15:24:56.000Z,Baby Draw,7 Iron,Default,151.5,159.9,1.9,2.4,-3.2,22.7,5.2,78.7,109.6,1.4,4.96 R,16.3,39.5,4881,781 L,10.8,35.0,-3.5,3.54° open,6.66° in-to-out,3.12° closed,,,1.2,2.8,5.4,7.9,10,10,36.1
25,2026-08-02T15:24:56.000Z,Hook,7 Iron,Default,140.9,156.5,15.3,11.8,-12.8,16.1,4.5,77.9,106.9,1.4,3.21 R,13.1,32.4,4093,1562 L,19.7,70.0,-3.5,1.36° open,8.21° in-to-out,6.85° closed,,,0.5,0.5,2.2,4.7,5.3,0,12.7
26,2026-08-02T15:24:56.000Z,Huge Push Draw,7 Iron,Default,159.6,167.5,13.1,13.1,-0.2,27.4,5.7,79.7,113.1,1.4,9.54 R,17.9,42.1,4900,781 L,13.7,43.0,-2.3,8.23° open,9.21° in-to-out,0.98° closed,,,0.7,3.9,8.1,9.1,4.5,0,25.6
27,2026-08-02T15:24:56.000Z,Huge Push,7 Iron,Default,164.8,174.4,25.9,24.4,8.9,21.5,5.4,82.8,118.8,1.4,8.08 R,12.9,37.1,5393,313 R,1.0,3.0,-5.2,7.54° open,4.35° in-to-out,3.19° open,,,0.0,5.6,4.5,8,0.6,0,18.7
28,2026-08-02T15:24:56.000Z,Top,5 Iron,Default,29.5,90.1,4.0,1.0,-2.9,1.3,0.8,72.3,88.7,1.2,0.78 L,9.9,10.2,50,0,0.5,9.0,1.6,0.92° closed,1.15° out-to-in,0.23° open,,,-0.1,6,0,2.6,10,0,18.6
29,2026-08-02T15:24:56.000Z,Hook,5 Iron,Default,187.1,200.5,20.0,16.9,-13.2,25.7,5.7,82.8,123.6,1.5,2.84 R,15.1,36.9,3517,1406 L,26.2,70.0,0.1,1.35° open,7.32° in-to-out,5.97° closed,,,0.3,2.1,8.5,7.9,5.3,0,23.8
30,2026-08-02T15:24:56.000Z,Huge Hook,5 Iron,Default,193.9,208.3,37.6,32.2,-21.3,29.5,5.9,84.0,126.1,1.5,2.09 R,15.7,39.2,3482,10000 L,39.3,100.0,1.0,9.16° closed,3.02° in-to-out,12.18° closed,,,-0.1,4.9,2.6,8,0,0,15.5
31,2026-08-02T15:24:56.000Z,Baby Draw,5 Iron,Default,172.8,184.6,4.8,5.5,-3.5,21.5,5.4,82.6,120.4,1.5,7.15 R,12.3,36.2,4639,781 L,16.1,47.0,-4.0,5.69° open,8.11° in-to-out,2.42° closed,,,1.6,4.7,5.8,8.3,7.7,10,36.4
32,2026-08-02T15:24:56.000Z,Baby Draw,5 Iron,Default,145.4,163.2,2.5,0.9,-5.3,16.0,4.4,78.0,108.0,1.4,4.53 R,12.9,30.1,3833,937 L,12.4,43.0,-3.0,2.95° open,7.01° in-to-out,4.06° closed,,,0.5,1.9,0,5.8,10,10,27.7
33,2026-08-02T15:24:56.000Z,Slight Push,5 Iron,Default,19.7,35.7,1.0,0.6,1.3,0.2,0.4,78.9,108.4,1.4,2.27 R,1.8,1.8,1371,0,0.2,4.0,-1.2,1.85° open,0.73° in-to-out,1.12° open,,,-0.4,6.6,0,0.2,10,6,22.8
34,2026-08-02T15:24:56.000Z,Huge Hook,5 Iron,Default,175.8,193.1,24.6,19.5,-17.1,23.9,5.1,82.0,122.4,1.5,4.31 R,14.6,36.7,2885,10000 L,32.7,93.0,1.8,7.46° closed,3.72° in-to-out,11.18° closed,,,0.2,3.5,6.7,6.8,0,0,16.9
35,2026-08-02T15:24:56.000Z,Pull Hook,5 Iron,Default,82.8,133.8,31.1,14.8,-18.5,4.2,2.2,71.3,95.4,1.3,1.98 L,9.4,13.0,2060,10000 L,11.9,72.0,0.7,13.75° closed,2.98° out-to-in,10.77° closed,,,-0.3,2.3,0,2.4,0,0,4.7
36,2026-08-02T15:24:56.000Z,Huge Push Draw,5 Iron,Default,145.4,156.3,12.9,12.6,1.5,18.1,4.8,77.1,105.1,1.4,8.38 R,14.9,34.0,4380,469 L,8.8,30.0,-3.1,7.2° open,7.85° in-to-out,0.65° closed,,,0.4,3.3,0,7.6,1.4,0,12.3
37,2026-08-02T15:24:56.000Z,Nuclear Hook,5 Iron,Default,185.8,203.6,50.3,42.0,-26.7,23.1,5.4,85.1,129.0,1.5,0.52 R,12.4,35.3,3539,10000 L,43.7,100.0,-2.2,12.05° closed,1.51° in-to-out,13.56° closed,,,-0.2,6.2,0,6.4,0,0,12.6
38,2026-08-02T15:24:56.000Z,Hook,5 Iron,Default,187.1,200.0,14.3,11.8,-11.3,26.3,5.7,82.2,122.0,1.5,4 R,15.8,36.9,3617,1250 L,24.9,66.0,0.0,2.46° open,7.7° in-to-out,5.24° closed,,,0.4,2.4,9.5,8.2,6.9,0,27
39,2026-08-02T15:24:56.000Z,Nuclear Hook,5 Iron,Default,168.5,197.1,55.9,41.9,-28.6,15.6,4.5,81.8,122.1,1.5,0.19 L,12.0,25.9,2823,10000 L,41.3,100.0,0.8,13.07° closed,0.77° in-to-out,13.84° closed,,,-0.2,4.7,0,5.6,0,0,10.3
40,2026-08-02T15:24:56.000Z,Power Draw,5 Iron,Default,154.2,173.8,4.4,6.4,-5.9,16.7,4.7,78.0,109.5,1.4,10.55 R,13.8,30.4,3659,1406 L,22.3,72.0,-2.0,8.79° open,10.89° in-to-out,2.1° closed,,,0.8,3.4,0,5.9,6.1,10,25.3
41,2026-08-02T15:24:56.000Z,Huge Push Draw,5 Iron,Default,155.4,169.8,12.7,12.9,-0.7,17.9,4.9,80.2,112.8,1.4,10.07 R,12.1,32.9,4533,781 L,14.7,47.0,-5.0,8.62° open,9.35° in-to-out,0.73° closed,,,0.6,4,0.5,7,4.5,0,16.1
42,2026-08-02T15:24:56.000Z,Huge Push,5 Iron,Default,53.6,97.7,24.0,12.7,14.8,2.8,1.6,62.3,76.9,1.2,12.2 R,10.7,12.5,1408,10000 R,1.1,10.0,1.6,14.51° open,0.29° in-to-out,14.22° open,,,-0.0,3,0,2.9,0,0,5.9
43,2026-08-02T15:24:56.000Z,Baby Draw,5 Iron,Default,146.0,163.2,1.3,0.0,-4.1,15.7,4.5,76.9,105.5,1.4,4.07 R,14.0,29.3,3935,937 L,10.4,36.0,-2.6,2.53° open,6.63° in-to-out,4.1° closed,,,0.5,1.7,0,6.4,10,10,28.1
44,2026-08-02T15:24:56.000Z,Underdraw,5 Iron,Default,174.3,184.9,10.0,9.7,1.5,23.6,5.5,81.9,119.9,1.5,4.86 R,14.0,37.3,4328,234 L,5.1,15.0,-2.6,3.99° open,3.89° in-to-out,0.1° open,,,1.0,6.3,6.3,8.7,6.5,6,33.8
45,2026-08-02T15:24:56.000Z,Huge Push,5 Iron,Default,150.1,177.1,33.9,27.7,13.2,11.4,4.2,80.7,115.1,1.4,7.99 R,9.0,24.4,3783,781 R,6.7,22.0,-4.2,8.04° open,2.31° in-to-out,5.73° open,,,0.0,4.2,0,4.8,0,0,9
46,2026-08-02T15:24:56.000Z,Power Draw,5 Iron,Default,138.5,161.9,0.5,2.0,-6.0,12.7,4.1,77.5,106.0,1.4,7.6 R,11.7,26.3,3731,1562 L,16.5,60.0,-3.4,5.38° open,10.66° in-to-out,5.28° closed,,,0.5,0.9,0,5,10,10,25.9
47,2026-08-02T15:24:56.000Z,Top,5 Iron,Default,15.0,83.5,32.0,5.9,22.5,0.3,0.4,69.0,84.0,1.2,21.94 R,5.2,5.0,845,625 L,0.2,6.0,3.2,12.17° open,7.93° in-to-out,4.24° open,,,-0.5,1.3,0,0.6,0,0,1.9
48,2026-08-02T15:24:56.000Z,Baby Draw,5 Iron,Default,174.1,194.3,4.3,5.4,-3.3,18.2,5.1,80.5,117.2,1.5,6.77 R,12.9,30.5,3666,781 L,15.3,44.0,-2.1,5.29° open,7.97° in-to-out,2.68° closed,,,1.6,3.6,6.2,6.5,8.4,10,34.8
49,2026-08-02T15:24:56.000Z,Huge Pull Hook,Driver,Default,210.2,260.1,85.4,62.4,-27.1,13.7,4.4,94.4,149.9,1.6,7.24 L,9.4,19.6,1940,10000 L,35.7,85.0,2.6,12.98° closed,0.27° out-to-in,12.71° closed,,,-0.4,3.8,4.7,6.4,0,0,14.9
50,2026-08-02T15:24:56.000Z,Push,Driver,Default,224.6,242.8,21.2,19.5,5.4,22.0,6.0,95.0,149.1,1.6,4.49 R,6.8,31.6,3755,234 R,1.8,4.0,-5.2,4.17° open,1.36° in-to-out,2.81° open,,,0.5,6.3,8,2.4,5.3,3,25
51,2026-08-02T15:24:56.000Z,Push,Driver,Default,239.3,251.9,34.7,32.3,10.7,41.1,7.2,98.9,154.1,1.6,4.79 R,13.1,45.9,3880,469 R,12.3,26.0,-0.5,4.4° open,1.05° in-to-out,3.35° open,,,-0.1,7.3,7.4,5.5,4.1,3,27.3
52,2026-08-02T15:24:56.000Z,Hook,Driver,Default,244.2,273.7,26.2,18.8,-14.4,29.4,6.0,96.2,152.0,1.6,5.54 R,11.7,33.5,2313,1250 L,42.5,87.0,5.4,4.13° open,7.96° in-to-out,3.83° closed,,,0.2,2.9,8,7.2,6.9,0,25
53,2026-08-02T15:24:56.000Z,Shank,Driver,Default,37.4,90.0,40.2,16.0,-27.4,2.3,1.0,72.7,93.6,1.3,21.41 L,13.7,14.2,50,1250 R,1.4,18.0,0.3,19.5° closed,12.33° out-to-in,7.17° closed,,,-0.6,0,2.7,3.7,0,0,6.4
54,2026-08-02T15:24:56.000Z,Nuclear Hook,Driver,Default,174.8,221.1,52.7,35.1,-22.0,12.3,3.9,86.5,134.4,1.6,1.09 L,11.3,19.6,1819,10000 L,31.8,91.0,3.8,14° closed,0.33° in-to-out,14.33° closed,,,-0.1,3,5.1,5.2,0,0,13.3
55,2026-08-02T15:24:56.000Z,Push,Driver,Default,209.3,223.4,23.3,21.7,6.4,24.1,6.0,93.6,144.7,1.5,5.46 R,7.3,37.2,4509,313 R,1.7,4.0,-5.7,5.14° open,1.77° in-to-out,3.37° open,,,0.7,5.6,7.3,2,3.8,3,21.6
56,2026-08-02T15:24:56.000Z,Huge Hook,Driver,Default,183.6,232.7,84.9,59.5,-30.6,14.9,3.9,91.1,143.4,1.6,6.95 L,13.3,21.8,1406,10000 L,37.1,100.0,7.3,13.61° closed,0.27° out-to-in,13.34° closed,,,-0.3,3.2,4.3,4.9,0,0,12.4
57,2026-08-02T15:24:56.000Z,Huge Hook,Driver,Default,187.9,238.3,71.5,49.2,-25.8,12.8,4.0,90.2,142.2,1.6,4.42 L,10.3,19.4,1817,10000 L,34.7,92.0,3.5,13.48° closed,0.31° out-to-in,13.17° closed,,,-0.3,3.2,5,5.3,0,0,13.4
58,2026-08-02T15:24:56.000Z,Power Fade,Driver,Default,203.2,246.7,11.1,4.5,-8.6,17.2,4.5,89.3,140.1,1.6,5.97 R,11.6,23.6,1743,781 L,25.8,63.0,5.2,4.74° open,6.88° in-to-out,2.14° closed,,,0.6,3,7,5.3,9.2,10,34.5
59,2026-08-02T15:24:56.000Z,Baby Draw,Driver,Default,219.9,260.4,13.0,7.2,-8.1,16.8,5.1,91.8,144.6,1.6,4.29 R,9.6,23.6,2371,781 L,23.7,54.0,1.3,3.19° open,5.12° in-to-out,1.93° closed,,,0.3,4,8,5.2,8.8,10,36
60,2026-08-02T15:24:56.000Z,Nuclear Hook,Driver,Default,221.5,249.3,57.7,45.9,-24.5,25.1,5.7,89.2,138.4,1.6,0.56 R,14.5,30.9,2294,10000 L,48.1,100.0,5.9,11.46° closed,1.68° in-to-out,13.14° closed,,,-0.2,3.1,6.1,6.9,0,0,16.1
61,2026-08-02T15:24:56.000Z,Huge Push Draw,Driver,Default,226.6,245.4,40.3,38.5,5.5,28.9,6.2,90.0,139.1,1.5,13.71 R,14.1,35.5,2855,391 L,16.8,37.0,5.0,11.4° open,10.18° in-to-out,1.22° open,,,-0.1,3.2,6.8,4.6,3,0,17.5
62,2026-08-02T15:24:56.000Z,Push Slice,Driver,Default,211.9,224.8,36.2,33.2,13.3,28.9,6.3,92.0,141.6,1.5,4.71 R,11.8,38.4,3887,859 R,15.8,37.0,-3.0,4.63° open,0.25° out-to-in,4.88° open,,,0.1,4.2,7,3.5,2.2,0,16.9
63,2026-08-02T15:24:56.000Z,Push,Driver,Default,186.1,240.1,16.9,12.0,5.3,7.6,4.0,91.6,143.5,1.6,2.11 R,3.8,13.8,2693,234 R,5.1,14.0,-4.9,1.84° open,0.4° out-to-in,2.24° open,,,0.6,6.1,6.1,1.5,6.9,3,23.6
64,2026-08-02T15:24:56.000Z,Hook,Driver,Default,237.6,262.1,18.6,14.4,-9.8,31.8,6.1,93.5,146.3,1.6,2.85 R,13.3,35.1,2354,781 L,26.2,55.0,6.3,2° open,4.51° in-to-out,2.51° closed,,,0.3,4.3,8.1,7,7.5,0,26.9
65,2026-08-02T15:24:56.000Z,Underdraw,Driver,Default,241.0,259.3,14.3,14.0,1.2,35.5,6.7,92.5,143.1,1.5,5.41 R,15.5,36.6,2879,234 L,8.9,18.0,6.0,4.54° open,4.22° in-to-out,0.32° open,,,0.4,4.8,8.1,5.5,8.1,6,32.4
66,2026-08-02T15:24:56.000Z,Pull Hook,Driver,Default,227.5,264.2,43.7,34.8,-14.0,17.7,5.4,92.0,144.9,1.6,3.54 L,8.5,23.7,2688,10000 L,20.7,45.0,-2.1,13.73° closed,0.23° out-to-in,13.5° closed,,,-0.2,3.4,7.1,3.3,0,0,13.8
67,2026-08-02T15:24:56.000Z,Huge Push,Driver,Default,215.0,226.3,56.9,53.5,17.7,36.3,6.7,92.0,140.7,1.5,10.85 R,15.6,42.3,3714,781 R,12.2,28.0,2.3,10.03° open,4.2° in-to-out,5.83° open,,,-0.2,1.8,5.5,5,0,0,12.3
68,2026-08-02T15:24:56.000Z,Huge Hook,Driver,Default,212.4,253.2,46.1,32.8,-18.9,18.1,4.9,89.8,140.7,1.6,1.1 R,12.5,24.0,1952,10000 L,36.9,87.0,5.7,11.01° closed,2.17° in-to-out,13.18° closed,,,-0.2,3,7,6.5,0,0,16.6
69,2026-08-02T15:24:56.000Z,Huge Push Draw,Driver,Default,234.0,262.2,37.4,35.1,4.6,26.1,5.9,91.3,142.3,1.6,12.46 R,13.3,31.2,2403,312 L,16.6,35.0,5.8,10.4° open,9.38° in-to-out,1.02° open,,,-0.2,3.3,7.1,6.3,3.8,0,20.4
70,2026-08-02T15:24:56.000Z,Dead Straight,Driver,Default,200.8,234.8,4.7,3.8,1.5,15.9,5.0,86.8,134.4,1.5,0.62 R,9.4,23.3,2737,78 R,1.6,4.0,-0.3,0.21° open,0.24° out-to-in,0.45° open,,,0.9,6,6.9,2.7,8.8,10,34.4
71,2026-08-02T15:24:56.000Z,Straight Draw,Driver,Default,219.9,245.5,8.5,6.8,-3.8,19.8,5.7,91.6,143.3,1.6,0.32 R,7.4,28.1,3361,391 L,8.0,18.0,-4.9,0.3° closed,1.26° in-to-out,1.56° closed,,,0.6,6.3,8,1.9,8.4,6,30.6
72,2026-08-02T15:24:56.000Z,Pull Hook,Driver,Default,191.9,248.0,43.1,29.3,-14.2,12.9,4.0,90.1,142.1,1.6,3.37 L,10.6,19.1,1669,10000 L,18.0,47.0,4.6,13.75° closed,0.25° out-to-in,13.5° closed,,,-0.1,3.2,6.1,4.7,0,0,13.9
73,2026-08-02T15:24:56.000Z,Pull Hook,Driver,Default,140.1,211.4,40.5,24.0,-13.4,3.5,2.7,89.6,138.8,1.5,6.25 L,3.5,7.7,2244,10000 L,8.6,31.0,-4.4,13.16° closed,0.54° out-to-in,12.62° closed,,,0.0,3.1,4.3,3.1,0,0,10.5
74,2026-08-02T15:24:56.000Z,Power Fade,Driver,Default,245.3,277.0,14.5,8.7,-10.5,28.6,6.0,94.2,148.2,1.6,6.42 R,15.2,31.8,1975,859 L,36.3,74.0,7.9,5.03° open,7.53° in-to-out,2.5° closed,,,0.2,3.4,8.1,8.6,8.8,10,38.9
