Shot number,Date,Classification,Club type,Club name,Carry,Total,Offline,Offline carry,Shot angle,Peak height,Hang time,Club speed,Ball speed,Smash factor,Push/pull,Launch angle,Landing angle,Backspin,Sidespin,Curve,Curve factor,Angle of attack,Face to target,Club path,Face to path,Face impact X,Face impact Y,Strokes gained,Club score,Target score,Launch score,Direction score,Shape score,Total score
,,,,,[yds],[yds],[yds],[yds],[°],[yds],[seconds],[mph],[mph],,[°],[°],[°],[rpm],[rpm],[yds],,[°],[°],[°],[°],[mm],[mm],,,,,,,
73,2026-08-18T22:30:24.000Z,Huge Push Slice,5 Iron,Default,174.4,180.0,52.2,49.7,25.7,34.0,6.3,89.0,129.1,1.5,7.22 R,16.1,46.1,6519,2500 R,27.6,79.0,-5.3,8.02° open,2.52° out-to-in,10.54° open,,,-0.2,6.5,0,6.5,0,0,13.1
74,2026-08-18T22:30:24.000Z,Shank,5 Iron,Default,65.1,145.7,80.3,33.4,35.6,0.6,1.4,83.2,119.0,1.4,23.28 R,1.6,3.0,2440,10000 R,5.4,41.0,-3.8,23.72° open,1.85° in-to-out,21.87° open,,,-0.4,5.5,0,1.7,0,0,7.3
75,2026-08-18T22:30:24.000Z,Huge Push Slice,5 Iron,Default,164.4,173.1,61.9,57.5,30.1,24.9,5.5,83.4,121.4,1.5,10.33 R,14.4,40.5,5053,10000 R,27.5,84.0,-3.7,13.54° open,0.38° out-to-in,13.92° open,,,-0.3,5.6,0,8.8,0,0,14.4
76,2026-08-18T22:30:24.000Z,Push Slice,5 Iron,Default,180.0,188.9,34.0,31.8,14.2,26.4,5.9,86.1,127.2,1.5,6.02 R,12.6,41.0,5174,1094 R,12.8,36.0,-4.6,6.15° open,0.03° out-to-in,6.18° open,,,0.1,6.7,2.4,7.7,0,0,16.8
77,2026-08-18T22:30:24.000Z,Huge Push Slice,5 Iron,Default,185.3,192.0,53.8,51.1,24.3,35.8,6.3,87.6,130.1,1.5,7.5 R,17.3,46.3,4690,1875 R,26.7,72.0,-0.8,7.86° open,0.58° out-to-in,8.44° open,,,-0.2,7,0,8.7,0,0,15.7
78,2026-08-18T22:30:24.000Z,Huge Slice,5 Iron,Default,182.9,190.1,43.3,40.8,20.1,35.4,6.4,87.8,129.3,1.5,5.63 R,16.8,46.8,5308,1719 R,22.8,62.0,-2.5,6.07° open,1.59° out-to-in,7.66° open,,,-0.1,7,0,8,0,0,15
79,2026-08-18T22:30:24.000Z,Push Slice,5 Iron,Default,181.1,189.9,31.1,28.7,15.7,30.3,5.3,85.1,126.1,1.5,2.55 R,20.0,44.1,1883,625 R,20.7,57.0,5.7,2.37° open,0.65° out-to-in,3.02° open,,,0.1,8.6,3.7,5.2,5.7,0,23.2
80,2026-08-18T22:30:24.000Z,Push Slice,5 Iron,Default,175.9,189.2,35.8,31.7,17.7,19.6,5.3,86.2,128.0,1.5,2.98 R,9.2,34.9,4863,1875 R,22.5,64.0,-5.2,3.65° open,3.32° out-to-in,6.97° open,,,0.0,5.8,2.3,6.6,0,0,14.7
81,2026-08-18T22:30:24.000Z,Push,5 Iron,Default,186.3,195.0,14.7,13.8,6.0,27.6,6.1,89.1,132.5,1.5,2.51 R,11.0,42.4,5560,469 R,5.6,15.0,-5.5,2.33° open,0.41° out-to-in,2.74° open,,,0.5,9.4,9.1,5.3,5.3,3,32.1
82,2026-08-18T22:30:24.000Z,Dead Straight,5 Iron,Default,186.9,197.2,4.1,3.8,-1.8,27.6,5.8,85.3,128.0,1.5,0.51 L,13.5,40.5,4157,156 L,2.1,6.0,-2.1,0.81° closed,0.26° out-to-in,0.55° closed,,,1.5,9.5,10,8.3,8.8,10,46.6
83,2026-08-18T22:30:24.000Z,Push,5 Iron,Default,184.5,193.1,23.6,22.1,10.0,30.5,6.0,84.5,126.0,1.5,3.78 R,15.9,43.6,4146,625 R,9.9,27.0,-1.0,3.63° open,0.01° in-to-out,3.62° open,,,0.3,7.9,6.8,9.5,3.8,3,31
84,2026-08-18T22:30:24.000Z,Shank,5 Iron,Default,47.6,139.4,139.8,48.2,94.4,0.7,0.9,84.0,124.5,1.5,43.09 R,3.0,3.7,1543,1563 R,3.7,38.0,-1.7,25.18° open,9.22° in-to-out,15.96° open,,,-0.8,2.9,0,2,0,0,4.9
85,2026-08-18T22:30:24.000Z,Dead Straight,5 Iron,Default,185.2,194.3,1.5,1.4,-0.4,28.8,5.9,85.9,128.3,1.5,0.52 L,13.8,42.5,4491,0,0.2,1.0,-2.6,0.7° closed,0.84° out-to-in,0.14° open,,,1.8,9.7,10,8.7,10,10,48.4
